,M4,T4,W4,TH4,F4
0,7,7,6,5,5
1,7,7,7,6,6
2,7,6,6,5,5
3,5,5,4,4,4
4,7,6,6,6,6
5,5,5,5,5,5
6,6,6,6,6,6
7,7,7,6,6,6
8,7,6,6,6,5
9,7,7,6,6,6
10,7,6,5,5,5
11,7,6,6,6,5
12,6,6,5,5,5
13,6,6,6,6,6
14,7,6,6,6,5
15,7,7,6,5,5
16,7,7,6,6,6
17,6,6,6,6,6
18,7,7,6,6,5
19,7,7,6,6,6
20,7,7,6,6,6
21,7,7,7,6,6
22,7,6,5,5,5
23,6,6,6,6,6
24,7,6,6,5,5
25,7,6,6,5,5
26,7,6,6,5,5
27,5,5,4,4,4
28,7,7,6,6,6
29,6,6,5,5,4
30,7,6,6,5,5
31,7,6,6,5,5
32,7,7,6,5,5
33,7,6,6,5,5
34,5,5,4,4,4
35,7,7,6,6,6
36,7,7,6,6,6
37,7,7,6,6,6
38,7,7,6,6,6
39,7,7,6,6,6
40,6,6,5,5,4
41,5,5,5,5,5
42,6,6,5,5,5
43,7,6,6,6,6
44,6,6,5,5,4
45,7,6,6,6,5
46,5,5,5,5,5
47,5,5,5,5,5
48,7,7,7,6,6
49,7,7,7,6,6
50,7,7,6,5,5
51,7,6,6,5,5
52,7,7,6,6,6
53,7,6,6,6,5
54,6,6,5,5,5
55,7,7,6,6,6
56,7,6,6,5,5
57,7,6,6,5,5
58,6,6,5,5,5
59,5,5,5,5,5
60,7,6,6,5,5
61,5,5,5,5,5
62,7,7,6,6,5
63,7,7,6,6,6
64,7,7,6,6,6
65,5,5,5,5,5
66,6,6,5,5,4
67,6,6,5,5,4
68,7,7,6,6,6
69,7,6,6,5,5
70,5,5,5,5,5
71,5,5,5,5,5
72,7,6,6,5,5
73,5,5,5,5,5
74,5,5,4,4,4
75,7,6,6,6,5
76,6,6,6,6,6
77,7,7,6,5,5
78,7,7,6,6,6
79,7,6,6,6,5
80,7,6,6,5,5
81,7,7,6,6,6
82,5,5,5,5,5
83,6,6,6,6,6
84,7,7,6,6,6
85,5,5,5,5,5
86,6,6,5,5,5
87,7,6,5,5,5
88,7,6,5,5,5
89,7,6,6,5,5
90,7,7,6,6,6
91,7,6,5,5,5
92,7,6,6,5,5
93,7,6,6,5,5
94,6,6,5,5,5
95,7,6,5,5,5
96,5,5,5,5,5
97,7,6,6,5,5
98,7,6,6,5,5
99,7,6,5,5,5
100,5,5,4,4,4
101,7,7,6,6,6
102,7,7,6,5,5
103,7,6,6,6,5
104,7,6,6,6,6
105,6,6,6,6,6
106,7,7,6,6,6
107,5,5,4,4,4
108,5,5,5,5,5
109,7,6,6,5,5
110,7,6,6,6,5
111,7,6,6,6,6
112,6,6,5,5,5
113,7,7,6,6,6
114,5,5,5,5,5
115,7,7,6,6,6
116,7,6,6,5,5
117,7,6,6,6,6
118,6,6,5,5,5
119,6,6,6,6,6
120,7,7,6,6,6
121,5,5,5,5,5
122,7,7,6,6,5
123,5,5,4,4,4
124,5,5,5,5,5
125,5,5,4,4,4
126,7,7,6,6,6
127,7,7,6,6,6
128,5,5,5,5,5
129,6,6,5,5,5
130,7,7,6,6,6
131,6,6,6,6,6
132,7,7,6,6,5
133,5,5,5,5,5
134,5,5,5,5,5
135,5,5,4,4,4
136,6,6,6,6,6
137,5,5,5,5,5
138,7,6,6,6,5
139,7,7,6,6,6
140,6,6,6,6,6
141,5,5,4,4,4
142,6,6,6,6,6
143,6,6,6,6,6
144,7,7,6,6,6
145,5,5,5,5,5
146,7,7,6,6,6
147,7,7,6,5,5
148,7,7,6,6,6
149,6,6,6,6,6
150,7,6,6,6,5
151,7,7,6,6,6
152,7,6,6,5,5
153,7,7,6,6,6
154,6,6,5,5,5
155,7,6,6,5,5
156,6,6,5,5,5
157,7,6,6,5,5
158,6,6,5,5,5
159,7,7,6,6,6
160,7,6,6,6,5
161,6,6,6,6,6
162,7,7,6,6,6
163,5,5,5,4,4
164,7,6,5,5,5
165,7,7,6,6,5
166,6,6,6,6,6
167,7,7,6,6,6
168,7,6,6,5,5
169,6,6,6,6,6
170,5,5,4,4,4
171,5,5,4,4,4
172,5,5,4,4,4
173,7,6,6,6,5
174,7,6,6,6,5
175,5,5,5,4,4
176,6,6,5,5,4
177,6,6,5,5,5
178,7,7,6,6,6
179,7,6,6,5,5
180,6,6,6,6,6
181,7,6,6,6,6
182,7,7,6,5,5
183,6,6,5,5,4
184,6,6,5,5,4
185,7,7,6,6,6
186,7,7,6,6,6
187,5,5,5,5,5
188,5,5,5,5,5
189,7,6,5,5,5
190,7,6,6,5,5
191,7,6,6,5,5
192,7,7,6,5,5
193,6,6,6,6,6
194,6,6,5,5,4
195,5,5,5,5,5
196,7,7,6,6,6
197,7,7,6,6,6
198,7,6,5,5,5
199,7,6,6,5,5
200,6,6,5,5,5
201,7,6,6,6,5
202,5,5,5,5,5
203,7,7,6,6,6
204,7,7,6,6,6
205,7,6,6,5,5
206,5,5,4,4,4
207,6,6,5,5,5
208,7,7,6,6,6
209,5,5,4,4,4
210,7,7,6,6,5
211,7,7,6,6,5
212,7,6,6,5,5
213,7,6,6,5,5
214,7,7,6,6,6
215,5,5,5,5,5
216,5,5,5,5,5
217,6,6,5,5,5
218,7,6,6,5,5
219,7,6,6,6,5
220,7,7,6,6,6
221,7,7,6,6,6
222,7,6,6,5,5
223,6,6,5,5,4
224,5,5,5,5,5
225,6,6,5,5,5
226,6,6,6,6,6
227,5,5,4,4,4
228,7,7,6,6,6
229,7,7,6,6,5
230,6,6,5,5,5
231,6,6,5,5,5
232,6,6,5,5,4
233,7,6,6,5,5
234,7,6,6,5,5
235,5,5,5,5,5
236,7,6,6,5,5
237,7,6,6,6,5
238,6,6,5,5,4
239,7,6,5,5,5
240,7,6,6,5,5
241,7,6,6,5,5
242,7,7,6,6,6
243,7,6,6,5,5
244,7,7,6,6,6
245,7,6,6,5,5
246,4,4,3,3,3
247,7,6,5,5,5
248,7,7,6,6,6
249,6,6,5,5,5
250,6,6,5,5,5
251,6,6,5,5,5
252,7,6,6,6,6
253,6,6,5,5,5
254,6,5,5,5,5
255,5,5,5,5,5
256,6,5,4,4,4
257,7,6,6,5,5
258,7,6,6,5,5
259,7,7,7,6,6
260,5,5,4,4,4
261,6,6,5,5,4
262,7,6,5,5,5
263,6,6,5,5,4
264,7,6,6,5,5
265,7,6,5,5,5
266,5,5,5,5,5
267,7,7,6,6,6
268,7,7,6,6,6
269,6,6,5,5,4
270,7,6,6,5,5
271,7,6,6,5,5
272,5,5,4,4,4
273,7,6,6,5,5
274,7,7,6,6,6
275,5,5,5,5,5
276,7,7,6,6,5
277,6,6,6,6,6
278,6,6,6,6,6
279,7,7,6,6,6
280,7,7,6,6,6
281,7,6,6,5,5
282,5,5,4,4,4
283,7,6,6,5,5
284,7,6,6,6,5
285,6,6,6,6,6
286,6,6,6,6,6
287,6,6,5,5,4
288,5,5,5,5,5
289,7,7,6,5,5
290,6,6,6,6,6
291,7,7,6,5,5
292,7,6,6,5,5
293,7,6,6,5,5
294,5,5,4,4,4
295,6,6,6,6,6
296,7,7,7,6,6
297,5,5,5,5,5
298,6,6,5,5,5
299,7,6,6,6,5
300,6,6,5,5,5
301,7,7,7,6,6
302,7,7,6,6,5
303,7,7,6,5,5
304,7,6,6,5,5
305,7,6,6,5,5
306,7,6,5,5,5
307,6,6,5,5,5
308,7,6,5,5,5
309,7,7,6,6,6
310,7,7,6,6,6
311,5,5,5,4,4
312,7,6,6,5,5
313,5,5,5,5,5
314,7,7,6,5,5
315,7,6,6,5,5
316,7,6,6,6,6
317,6,6,6,6,6
318,7,6,6,5,5
319,7,6,6,6,5
320,5,5,5,5,5
321,7,6,6,5,5
322,6,6,5,5,4
323,7,7,7,6,6
324,7,6,6,6,6
325,5,5,5,5,5
326,7,7,6,6,6
327,7,7,6,5,5
328,6,6,5,5,4
329,6,6,5,5,5
330,7,7,6,6,6
331,7,7,6,6,6
332,6,6,5,5,5
333,5,5,5,5,5
334,7,7,6,6,6
335,7,7,6,6,6
336,6,6,5,5,5
337,7,6,6,5,5
338,7,7,6,6,6
339,7,7,6,5,5
340,5,5,5,5,5
341,7,7,6,6,5
342,7,6,5,5,5
343,5,5,5,5,5
344,5,5,5,5,5
345,5,5,5,5,5
346,7,7,7,6,6
347,7,7,6,6,6
348,7,6,6,5,5
349,7,7,6,6,6
350,7,7,6,6,6
351,6,6,5,5,5
352,7,6,6,6,6
353,7,7,7,6,6
354,7,6,6,5,5
355,7,7,6,6,6
356,7,6,6,6,5
357,5,5,5,4,4
358,5,5,4,4,4
359,5,5,4,4,4
360,7,7,6,6,6
361,7,6,6,6,6
362,7,6,6,6,6
363,5,5,5,5,5
364,7,7,6,6,6
365,7,6,6,5,5
366,7,6,6,6,6
367,7,6,6,6,6
368,7,6,5,5,5
369,7,6,6,6,6
370,7,7,6,6,6
371,5,5,5,5,5
372,6,6,5,5,5
373,5,5,4,4,4
374,7,7,6,6,6
375,7,6,6,6,5
376,6,6,5,5,5
377,5,5,5,5,5
378,7,6,6,6,6
379,6,6,5,5,5
380,6,6,5,5,5
381,6,6,5,5,5
382,7,6,6,5,5
383,7,7,6,6,6
384,7,6,5,5,5
385,6,6,5,5,4
386,7,7,6,6,6
387,7,7,6,6,6
388,7,7,6,6,6
389,7,7,6,6,6
390,5,5,5,5,5
391,5,5,5,5,5
392,7,7,7,6,6
393,7,6,6,5,5
394,6,6,5,5,5
395,7,7,6,6,5
396,7,6,6,6,5
397,7,7,6,6,6
398,7,6,6,5,5
399,6,6,5,5,5
400,7,6,6,6,5
401,6,6,5,5,5
402,6,6,5,5,5
403,6,6,5,5,4
404,7,7,7,6,6
405,7,7,6,6,6
406,7,7,6,6,6
407,7,7,6,6,6
408,7,7,6,5,5
409,7,7,6,6,6
410,7,7,6,5,5
411,7,7,7,6,6
412,5,5,5,5,5
413,7,7,6,6,6
414,7,7,7,6,6
415,7,6,6,5,5
416,5,5,5,5,5
417,5,5,5,5,5
418,7,7,6,6,5
419,7,7,7,6,6
420,6,6,6,6,6
421,7,7,6,6,5
422,6,6,5,5,4
423,7,6,6,6,5
424,7,7,6,6,5
425,7,6,5,5,5
426,6,6,6,6,6
427,7,7,6,6,6
428,7,7,6,6,6
429,7,7,6,6,6
430,6,6,6,6,6
431,6,6,5,5,5
432,7,7,6,6,6
433,7,7,6,5,5
434,7,6,6,5,5
435,7,6,6,5,5
436,7,7,6,6,6
437,7,6,6,5,5
438,6,6,6,6,6
439,7,7,6,6,6
440,7,6,6,6,6
441,7,6,5,5,5
442,6,6,7,6,6
443,7,7,7,6,6
444,6,6,6,6,6
445,7,7,6,6,5
446,6,6,6,6,6
447,5,5,5,5,5
448,7,7,6,6,6
449,6,6,5,5,5
450,5,5,4,4,4
451,7,6,6,6,5
452,7,6,6,5,5
453,7,6,6,5,5
454,7,6,6,5,5
455,6,6,6,6,6
456,6,6,6,6,6
457,7,6,6,6,6
458,6,6,5,5,5
459,7,7,6,6,6
460,6,6,5,5,4
461,7,7,6,6,6
462,7,7,6,6,6
463,5,5,4,4,4
464,7,6,6,5,5
465,6,6,5,5,4
466,7,6,5,5,5
467,5,5,5,5,5
468,7,7,6,6,6
469,7,7,6,6,6
470,7,6,5,5,5
471,7,6,6,5,5
472,5,5,5,5,5
473,7,7,6,5,5
474,7,6,6,5,5
475,7,6,6,5,5
476,5,5,4,4,4
477,7,7,7,6,6
478,7,7,6,6,6
479,7,7,6,5,5
480,5,5,5,5,5
481,7,7,6,6,6
482,7,6,6,6,6
483,7,7,6,5,5
484,5,5,5,5,5
485,7,7,6,6,6
486,5,5,5,5,5
487,7,7,6,6,5
488,7,7,6,6,6
489,7,6,5,5,5
490,7,6,6,6,6
491,7,7,7,6,6
492,7,7,6,5,5
493,7,6,5,5,5
494,7,6,6,5,5
495,7,7,6,6,6
496,7,7,6,6,5
497,7,6,6,5,5
498,6,6,5,5,4
499,7,7,6,6,6
500,7,6,6,5,5
501,7,7,6,5,5
502,6,6,5,5,5
503,7,7,6,5,5
504,7,7,6,5,5
505,6,6,6,6,5
506,7,6,6,5,5
507,6,6,6,6,6
508,5,5,4,4,4
509,7,7,7,6,6
510,7,6,6,5,5
511,7,7,6,6,6
512,6,6,5,5,4
513,6,6,5,5,5
514,7,6,6,6,5
515,7,7,6,6,6
516,6,6,6,6,6
517,5,5,5,5,5
518,6,6,5,5,5
519,6,6,5,5,4
520,7,7,6,6,6
521,7,6,6,5,5
522,5,5,5,5,5
523,6,6,5,5,4
524,7,6,6,5,5
525,6,6,5,5,5
526,7,7,6,5,5
527,6,6,6,6,6
528,6,6,5,5,5
529,7,7,6,6,6
530,6,6,5,5,5
531,5,5,5,5,5
532,6,6,6,6,6
533,6,6,5,5,5
534,7,7,6,6,6
535,6,6,5,5,4
536,7,6,6,5,5
537,7,7,6,6,6
538,7,7,6,6,6
539,7,6,6,6,6
540,7,6,5,5,5
541,7,7,6,6,6
542,7,7,6,6,6
543,5,5,4,4,4
544,7,7,6,6,5
545,7,7,6,6,6
546,7,7,6,6,6
547,7,7,6,6,6
548,5,5,4,4,4
549,7,6,6,5,5
550,7,7,6,6,6
551,7,7,6,6,6
552,7,7,6,6,6
553,5,5,5,5,5
554,5,5,5,5,5
555,7,6,6,6,6
556,5,5,5,5,5
557,7,6,6,6,5
558,7,6,6,5,5
559,6,6,6,6,6
560,5,5,5,5,5
561,7,7,6,6,6
562,7,7,6,6,6
563,7,6,6,5,5
564,7,7,6,6,6
565,7,6,5,5,5
566,7,6,6,5,5
567,7,6,6,5,5
568,6,6,5,5,4
569,7,7,6,6,6
570,6,6,5,5,5
571,6,6,5,5,4
572,5,5,5,5,5
573,5,5,4,4,4
574,7,7,6,6,6
575,5,5,5,5,5
576,7,6,5,5,5
577,7,7,6,6,6
578,7,7,6,6,6
579,7,7,6,5,5
580,5,5,5,5,5
581,5,5,5,4,4
582,6,6,5,5,4
583,7,6,6,5,5
584,7,6,6,6,6
585,5,5,4,4,4
586,6,6,5,5,5
587,7,6,6,6,6
588,7,7,6,5,5
589,7,6,5,5,5
590,7,7,6,6,6
591,7,6,5,5,5
592,5,5,4,4,4
593,7,6,5,5,5
594,7,7,6,6,6
595,7,6,6,6,6
596,7,7,6,6,6
597,7,7,6,6,6
598,7,7,6,6,6
599,5,5,4,4,4
600,6,6,5,5,4
601,7,7,6,6,5
602,6,6,6,6,6
603,7,6,6,5,5
604,5,5,4,4,4
605,5,5,5,5,5
606,7,7,7,6,6
607,7,7,6,6,6
608,5,5,5,5,5
609,7,7,6,6,6
610,7,7,6,6,6
611,7,7,6,6,6
612,7,7,6,5,5
613,6,6,6,6,6
614,7,6,6,5,5
615,7,6,6,6,5
616,7,6,6,5,5
617,6,6,5,5,5
618,7,7,7,6,6
619,5,5,4,4,4
620,5,5,5,5,5
621,5,5,5,5,5
622,7,7,6,6,6
623,6,6,5,5,5
624,7,6,6,6,6
625,7,6,5,5,5
626,7,7,6,5,5
627,5,5,4,4,4
628,7,6,6,5,5
629,5,5,4,4,4
630,7,6,6,5,5
631,7,7,6,6,6
632,7,7,7,6,6
633,7,7,6,6,6
634,7,7,6,5,5
635,7,7,6,6,6
636,6,6,5,5,4
637,6,6,5,5,4
638,6,6,5,5,5
639,7,7,6,6,6
640,7,6,6,6,6
641,7,6,6,6,6
642,7,6,6,5,5
643,7,6,6,6,5
644,7,7,6,6,6
645,7,7,6,6,6
646,7,6,5,5,5
647,7,7,6,6,6
648,7,7,6,6,6
649,5,5,5,5,5
650,6,6,5,5,5
651,7,7,6,6,6
652,7,6,6,5,5
653,5,5,5,5,5
654,7,6,5,5,5
655,6,6,5,5,5
656,7,6,6,5,5
657,6,6,6,6,6
658,6,6,5,5,5
659,7,7,6,6,5
660,6,6,5,5,5
661,7,6,6,6,6
662,6,6,5,5,5
663,5,5,4,4,4
664,7,7,6,6,5
665,7,7,6,6,6
666,5,5,5,4,4
667,7,7,6,6,6
668,5,5,5,5,5
669,7,7,6,6,6
670,7,6,5,5,5
671,7,6,6,5,5
672,7,7,6,6,6
673,6,6,6,6,6
674,7,6,6,5,5
675,7,7,6,6,5
